tanggal,kode_pelanggan,nama_pelanggan,kode_produk,nama_produk,qty,harga_satuan,total_penjualan,diskon,penjualan_bersih
2024-04-01,C005,PT Sentosa,PRD02,Produk B,16,75000,1200000,120000,1080000
2024-04-01,C005,PT Sentosa,PRD02,Produk B,16,75000,1200000,120000,1080000
2024-04-02,C004,PT Abadi,PRD03,Produk C,24,120000,2880000,144000,2736000
2024-04-03,C001,PT Sinar,PRD03,Produk C,6,120000,720000,36000,684000
2024-04-03,C004,PT Abadi,PRD03,Produk C,23,120000,2760000,138000,2622000
2024-04-03,C004,PT Abadi,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-04-04,C003,PT Jaya,PRD01,Produk A,4,50000,200000,20000,180000
2024-04-05,C003,PT Jaya,PRD03,Produk C,20,120000,2400000,120000,2280000
2024-04-05,C004,PT Abadi,PRD02,Produk B,7,75000,525000,52500,472500
2024-04-06,C001,PT Sinar,PRD01,Produk A,19,50000,950000,95000,855000
2024-04-06,C003,PT Jaya,PRD01,Produk A,14,50000,700000,70000,630000
2024-04-07,C002,PT Mulia,PRD03,Produk C,25,120000,3000000,150000,2850000
2024-04-07,C003,PT Jaya,PRD02,Produk B,22,75000,1650000,165000,1485000
2024-04-08,C002,PT Mulia,PRD01,Produk A,17,50000,850000,85000,765000
2024-04-08,C003,PT Jaya,PRD01,Produk A,17,50000,850000,85000,765000
2024-04-08,C001,PT Sinar,PRD02,Produk B,17,75000,1275000,127500,1147500
2024-04-09,C002,PT Mulia,PRD02,Produk B,1,75000,75000,7500,67500
2024-04-09,C002,PT Mulia,PRD03,Produk C,8,120000,960000,48000,912000
2024-04-09,C005,PT Sentosa,PRD03,Produk C,20,120000,2400000,120000,2280000
2024-04-10,C002,PT Mulia,PRD02,Produk B,7,75000,525000,52500,472500
2024-04-10,C002,PT Mulia,PRD02,Produk B,5,75000,375000,37500,337500
2024-04-10,C003,PT Jaya,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-04-11,C003,PT Jaya,PRD02,Produk B,12,75000,900000,90000,810000
2024-04-11,C004,PT Abadi,PRD01,Produk A,5,50000,250000,25000,225000
2024-04-11,C001,PT Sinar,PRD03,Produk C,20,120000,2400000,120000,2280000
2024-04-11,C004,PT Abadi,PRD03,Produk C,1,120000,120000,6000,114000
2024-04-12,C004,PT Abadi,PRD03,Produk C,16,120000,1920000,96000,1824000
2024-04-12,C005,PT Sentosa,PRD01,Produk A,9,50000,450000,45000,405000
2024-04-13,C001,PT Sinar,PRD02,Produk B,20,75000,1500000,150000,1350000
2024-04-13,C003,PT Jaya,PRD02,Produk B,20,75000,1500000,150000,1350000
2024-04-13,C001,PT Sinar,PRD01,Produk A,5,50000,250000,25000,225000
2024-04-13,C001,PT Sinar,PRD01,Produk A,19,50000,950000,95000,855000
2024-04-13,C001,PT Sinar,PRD02,Produk B,25,75000,1875000,187500,1687500
2024-04-13,C003,PT Jaya,PRD03,Produk C,15,120000,1800000,90000,1710000
2024-04-13,C001,PT Sinar,PRD01,Produk A,9,50000,450000,45000,405000
2024-04-15,C005,PT Sentosa,PRD02,Produk B,12,75000,900000,90000,810000
2024-04-15,C001,PT Sinar,PRD01,Produk A,12,50000,600000,60000,540000
2024-04-15,C002,PT Mulia,PRD03,Produk C,13,120000,1560000,78000,1482000
2024-04-16,C003,PT Jaya,PRD02,Produk B,2,75000,150000,15000,135000
2024-04-16,C002,PT Mulia,PRD03,Produk C,8,120000,960000,48000,912000
2024-04-16,C005,PT Sentosa,PRD02,Produk B,3,75000,225000,22500,202500
2024-04-16,C003,PT Jaya,PRD02,Produk B,10,75000,750000,75000,675000
2024-04-17,C002,PT Mulia,PRD02,Produk B,2,75000,150000,15000,135000
2024-04-17,C002,PT Mulia,PRD02,Produk B,9,75000,675000,67500,607500
2024-04-17,C003,PT Jaya,PRD03,Produk C,3,120000,360000,18000,342000
2024-04-18,C001,PT Sinar,PRD02,Produk B,17,75000,1275000,127500,1147500
2024-04-18,C001,PT Sinar,PRD01,Produk A,13,50000,650000,65000,585000
2024-04-18,C001,PT Sinar,PRD01,Produk A,1,50000,50000,5000,45000
2024-04-18,C002,PT Mulia,PRD02,Produk B,18,75000,1350000,135000,1215000
2024-04-19,C004,PT Abadi,PRD02,Produk B,18,75000,1350000,135000,1215000
2024-04-19,C001,PT Sinar,PRD03,Produk C,18,120000,2160000,108000,2052000
2024-04-20,C002,PT Mulia,PRD03,Produk C,17,120000,2040000,102000,1938000
2024-04-20,C003,PT Jaya,PRD03,Produk C,25,120000,3000000,150000,2850000
2024-04-21,C001,PT Sinar,PRD01,Produk A,21,50000,1050000,105000,945000
2024-04-21,C004,PT Abadi,PRD02,Produk B,24,75000,1800000,180000,1620000
2024-04-21,C003,PT Jaya,PRD03,Produk C,21,120000,2520000,126000,2394000
2024-04-21,C003,PT Jaya,PRD03,Produk C,2,120000,240000,12000,228000
2024-04-22,C002,PT Mulia,PRD03,Produk C,13,120000,1560000,78000,1482000
2024-04-22,C005,PT Sentosa,PRD03,Produk C,2,120000,240000,12000,228000
2024-04-23,C001,PT Sinar,PRD03,Produk C,17,120000,2040000,102000,1938000
2024-04-23,C001,PT Sinar,PRD01,Produk A,13,50000,650000,65000,585000
2024-04-23,C005,PT Sentosa,PRD01,Produk A,20,50000,1000000,100000,900000
2024-04-24,C002,PT Mulia,PRD01,Produk A,18,50000,900000,90000,810000
2024-04-24,C005,PT Sentosa,PRD03,Produk C,5,120000,600000,30000,570000
2024-04-24,C002,PT Mulia,PRD03,Produk C,5,120000,600000,30000,570000
2024-04-24,C003,PT Jaya,PRD02,Produk B,19,75000,1425000,142500,1282500
2024-04-24,C003,PT Jaya,PRD02,Produk B,12,75000,900000,90000,810000
2024-04-25,C005,PT Sentosa,PRD01,Produk A,2,50000,100000,10000,90000
2024-04-25,C001,PT Sinar,PRD02,Produk B,10,75000,750000,75000,675000
2024-04-25,C001,PT Sinar,PRD03,Produk C,3,120000,360000,18000,342000
2024-04-25,C004,PT Abadi,PRD02,Produk B,15,75000,1125000,112500,1012500
2024-04-25,C005,PT Sentosa,PRD03,Produk C,14,120000,1680000,84000,1596000
2024-04-25,C005,PT Sentosa,PRD02,Produk B,24,75000,1800000,180000,1620000
2024-04-26,C001,PT Sinar,PRD02,Produk B,10,75000,750000,75000,675000
2024-04-26,C001,PT Sinar,PRD01,Produk A,22,50000,1100000,110000,990000
2024-04-27,C004,PT Abadi,PRD01,Produk A,15,50000,750000,75000,675000
2024-04-27,C002,PT Mulia,PRD01,Produk A,16,50000,800000,80000,720000
2024-04-27,C002,PT Mulia,PRD03,Produk C,13,120000,1560000,78000,1482000
2024-04-28,C005,PT Sentosa,PRD03,Produk C,16,120000,1920000,96000,1824000
2024-04-29,C004,PT Abadi,PRD01,Produk A,3,50000,150000,15000,135000
2024-04-29,C003,PT Jaya,PRD03,Produk C,11,120000,1320000,66000,1254000
2024-04-30,C004,PT Abadi,PRD03,Produk C,22,120000,2640000,132000,2508000
2024-04-30,C005,PT Sentosa,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-05-01,C001,PT Sinar,PRD03,Produk C,15,120000,1800000,90000,1710000
2024-05-01,C003,PT Jaya,PRD02,Produk B,22,75000,1650000,165000,1485000
2024-05-01,C003,PT Jaya,PRD02,Produk B,1,75000,75000,7500,67500
2024-05-02,C003,PT Jaya,PRD02,Produk B,18,75000,1350000,135000,1215000
2024-05-02,C001,PT Sinar,PRD03,Produk C,25,120000,3000000,150000,2850000
2024-05-03,C004,PT Abadi,PRD01,Produk A,8,50000,400000,40000,360000
2024-05-03,C002,PT Mulia,PRD01,Produk A,1,50000,50000,5000,45000
2024-05-03,C001,PT Sinar,PRD02,Produk B,7,75000,525000,52500,472500
2024-05-03,C005,PT Sentosa,PRD02,Produk B,19,75000,1425000,142500,1282500
2024-05-03,C004,PT Abadi,PRD01,Produk A,23,50000,1150000,115000,1035000
2024-05-04,C002,PT Mulia,PRD01,Produk A,23,50000,1150000,115000,1035000
2024-05-04,C005,PT Sentosa,PRD02,Produk B,14,75000,1050000,105000,945000
2024-05-05,C004,PT Abadi,PRD03,Produk C,23,120000,2760000,138000,2622000
2024-05-05,C002,PT Mulia,PRD02,Produk B,10,75000,750000,75000,675000
2024-05-05,C002,PT Mulia,PRD02,Produk B,21,75000,1575000,157500,1417500
2024-05-06,C003,PT Jaya,PRD01,Produk A,25,50000,1250000,125000,1125000
2024-05-06,C004,PT Abadi,PRD01,Produk A,13,50000,650000,65000,585000
2024-05-07,C003,PT Jaya,PRD02,Produk B,18,75000,1350000,135000,1215000
2024-05-07,C003,PT Jaya,PRD02,Produk B,13,75000,975000,97500,877500
2024-05-07,C002,PT Mulia,PRD03,Produk C,12,120000,1440000,72000,1368000
2024-05-08,C001,PT Sinar,PRD02,Produk B,20,75000,1500000,150000,1350000
2024-05-08,C002,PT Mulia,PRD02,Produk B,2,75000,150000,15000,135000
